pmid	year	journal	type	queries	title
38456508	2024	JCI Insight	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q5_lung_chipseq_tf;Q9_copd_asthma_tf	Activator protein transcription factors coordinate human IL-33 expression from noncanonical promoters in chronic airway disease.
39266564	2024	Nat Commun	Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural	Q6_gwas_lung_regulatory;Q10_lung_cancer_tf_network	Context-aware single-cell multiomics approach identifies cell-type-specific lung cancer susceptibility genes.
38906146	2024	Am J Hum Genet	Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural	Q6_gwas_lung_regulatory;Q10_lung_cancer_tf_network	High-throughput characterization of functional variants highlights heterogeneity and polygenicity underlying lung cancer susceptibility.
38924775	2024	Am J Respir Crit Care Med	Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural	Q8_ipf_tf;Q11_lung_dev_tf	Single-Cell Analysis Reveals Novel Immune Perturbations in Fibrotic Hypersensitivity Pneumonitis.
37953063	2024	Phytother Res	Journal Article	Q8_ipf_tf;Q11_lung_dev_tf	Salvianolic acid B protects against pulmonary fibrosis by attenuating stimulating protein 1-mediated macrophage and alveolar type 2 cell senescence.
39732961	2024	Sci Rep	Journal Article;Research Support, Non-U.S. Gov't	Q10_lung_cancer_tf_network;Q11_lung_dev_tf	Pan-cancer analysis of the potential of PEA3 subfamily genes as tumor markers.
39386474	2024	bioRxiv	Journal Article;Preprint	Q10_lung_cancer_tf_network;Q11_lung_dev_tf	MAX inactivation deregulates the MYC network and induces neuroendocrine neoplasia in multiple tissues.
38544480	2024	Adv Sci (Weinh)	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q10_lung_cancer_tf_network;Q11_lung_dev_tf	Wemics: A Single-Base Resolution Methylation Quantification Method for Enhanced Prediction of Epigenetic Regulation.
39253423	2024	bioRxiv	Journal Article;Preprint	Q11_lung_dev_tf;Q12_pah_bpd_tf	Bronchopulmonary Dysplasia with Pulmonary Hypertension Associates with Loss of Semaphorin Signaling and Functional Decrease in FOXF1 Expression.
39107245	2024	Cardiovasc Res	Journal Article;Research Support, Non-U.S. Gov't	Q11_lung_dev_tf;Q12_pah_bpd_tf	Nuclear factor of activated T-cells 5 is indispensable for a balanced adaptive transcriptional response of lung endothelial cells to hypoxia.
