pmid	year	journal	type	queries	title
41021640	2025	PLoS Genet	Journal Article	Q6_gwas_lung_regulatory	On the analysis of genetic association with long-read sequencing data.
41001556	2025	Res Sq	Journal Article;Preprint	Q6_gwas_lung_regulatory	Replication and Functional Prediction of Two GWAS-Reported SNPs Located on RAD50 Gene Associated with Asthma in Pakistani Children.
40889797	2025	J Immunother Cancer	Journal Article	Q6_gwas_lung_regulatory	Regulatory polymorphisms of MSH6, MSH2, FBXO11, and PPP1R21 genes affect survival of patients with immunotherapy-treated lung cancer.
40859573	2025	Medicine (Baltimore)	Journal Article	Q6_gwas_lung_regulatory	A multilevel genomic approach to uncover causal connections between CPFE and lung cancer subtypes: A two-sample Mendelian randomization study.
40824435	2025	AMB Express	Journal Article	Q6_gwas_lung_regulatory	Dissecting the role of gut microbiota heterogeneity in the onset of chronic lung diseases.
40820226	2025	Sci Rep	Journal Article	Q6_gwas_lung_regulatory	Druggable genome-wide Mendelian randomization integrating GWAS and eQTL/pQTL data identifies targets for lung squamous cell carcinoma.
40746155	2025	Carcinogenesis	Journal Article;Research Support, N.I.H., Extramural	Q6_gwas_lung_regulatory	Genome-wide association study of early-stage non-small cell lung cancer prognosis: a pooled analysis in the International Lung Cancer Consortium.
40730666	2025	J Hum Genet	Journal Article	Q6_gwas_lung_regulatory	Genome-wide analysis of 3' untranslated region alternative polyadenylation quantitative trait loci identified a potential novel susceptibility locus for lung cancer in cross-ancestry populations.
40676822	2025	Int J Surg	Journal Article	Q6_gwas_lung_regulatory	Bidirectional mendelian randomization and single-cell sequencing reveal T cell-mediated causal links between COPD and lung adenocarcinoma.
40673098	2025	Transl Lung Cancer Res	Journal Article	Q6_gwas_lung_regulatory	Endoplasmic reticulum stress-related genes contribute to lung cancer risk: a multiomics data integration study.
40672941	2025	Front Immunol	Journal Article	Q6_gwas_lung_regulatory	Multi-omics analysis reveals glutathione metabolism-related immune suppression and constructs a prognostic model in lung adenocarcinoma.
40592928	2025	Sci Rep	Journal Article	Q6_gwas_lung_regulatory	Investigating the potential of oxidative stress-related gene as predictive markers in idiopathic pulmonary fibrosis.
40573242	2025	Pharmaceuticals (Basel)	Journal Article	Q6_gwas_lung_regulatory	Exploring the Potential Association Between Inhaled Corticosteroid and Face Aging Risk: A Mendelian Randomization Study.
40545078	2025	Int J Biol Macromol	Journal Article	Q6_gwas_lung_regulatory	Integrating single-cell RNA-seq, bulk RNA-seq, and Mendelian randomization to elucidate the role of HLA-DPA1 expression levels and non-classical monocytes in the pathogenesis of idiopathic pulmonary arterial hypertension.
40527815	2025	Medicine (Baltimore)	Journal Article	Q6_gwas_lung_regulatory	Liposomes, immune cells, and lung cancer subtypes: A bidirectional Mendelian randomization study.
40514687	2025	Clin Epigenetics	Journal Article	Q6_gwas_lung_regulatory	A multi-omics and mediation-based genetic screening approach identifies STX4 as a key link between epigenetic regulation, immune cells, and childhood asthma.
40512334	2025	FASEB J	Journal Article	Q6_gwas_lung_regulatory	Genomic Locus Tagged by Lung Function GWAS SNV rs12477314 (2q37.3) Acts as a Regulatory Region for a Systemic Inflammatory Phenotype.
40502601	2025	medRxiv	Journal Article;Preprint	Q6_gwas_lung_regulatory	Shared loci but distinct variants underlie genetic architecture of allergic diseases.
40473309	2025	Eur Respir J	Journal Article	Q6_gwas_lung_regulatory	Genome-wide association study reveals CBX7 as a novel susceptibility gene associated with primary spontaneous pneumothorax in the Chinese Han population.
40463915	2025	Clin Med Insights Oncol	Journal Article	Q6_gwas_lung_regulatory	Causal Association Between Lung Cancer and Rash: A Bidirectional Mendelian Randomization Study.
40399555	2025	Nat Genet	Journal Article	Q6_gwas_lung_regulatory	Genome-wide association study of long COVID.
40388790	2025	Medicine (Baltimore)	Journal Article	Q6_gwas_lung_regulatory	Identification of therapeutic targets for neonatal respiratory distress: A systematic druggable genome-wide Mendelian randomization.
40374125	2025	Diabetes Res Clin Pract	Journal Article	Q6_gwas_lung_regulatory	Genetically proxied glucokinase activation and risk of diabetic complications: Insights from phenome-wide and multi-omics mendelian randomization.
40329806	2025	Acta Biochim Biophys Sin (Shanghai)	Journal Article	Q6_gwas_lung_regulatory	Causal effects of immune cells on the efficacy and adverse drug reactions of platinum drugs.
40234829	2025	BMC Pulm Med	Journal Article	Q6_gwas_lung_regulatory	Decoding the causal association between immune cells and three chronic respiratory diseases: Insights from a bi-directional Mendelian randomization study.
40205616	2025	Genome Med	Journal Article;Research Support, N.I.H., Extramural	Q6_gwas_lung_regulatory	Integration of functional genomics and statistical fine-mapping systematically characterizes adult-onset and childhood-onset asthma genetic associations.
40168134	2025	Carcinogenesis	Journal Article;Research Support, Non-U.S. Gov't	Q6_gwas_lung_regulatory	Genetic susceptibility to lung squamous cell carcinoma: new insights on 9q33.2 variants and tobacco smoking.
40149630	2025	Biomedicines	Journal Article;Review	Q6_gwas_lung_regulatory	The Genetic Mechanisms and Pathology of Atrial Fibrillation: A Narrative Review.
40139464	2025	J Allergy Clin Immunol	Journal Article;Review	Q6_gwas_lung_regulatory	Update on the genetics of allergic diseases.
40118907	2025	Sci Rep	Journal Article	Q6_gwas_lung_regulatory	Genome wide interaction study of genetic variants associated with lung function decline.
40091050	2025	J Transl Med	Journal Article	Q6_gwas_lung_regulatory	Genetic insights into idiopathic pulmonary fibrosis: a multi-omics approach to identify potential therapeutic targets.
40050692	2025	Sci Rep	Journal Article	Q6_gwas_lung_regulatory	Identification of potential susceptibility loci for non-small cell lung cancer through whole genome sequencing in circadian rhythm genes.
40049421	2025	Genomics	Journal Article;Research Support, Non-U.S. Gov't	Q6_gwas_lung_regulatory	Comprehensive expression genome-wide association study of long non-coding RNAs in four porcine tissues.
40046242	2025	Front Genet	Editorial	Q6_gwas_lung_regulatory	Editorial: Advancements and prospects of genome-wide association studies.
40046022	2025	Intractable Rare Dis Res	Journal Article	Q6_gwas_lung_regulatory	Risk associated circulating biomarkers S100A3 identified in congenital heart disease-associated pulmonary arterial hypertension.
40034789	2025	medRxiv	Journal Article;Preprint	Q6_gwas_lung_regulatory	Integration of functional genomics and statistical fine-mapping systematically characterizes adult-onset and childhood-onset asthma genetic associations.
40034763	2025	medRxiv	Journal Article;Preprint	Q6_gwas_lung_regulatory	Cross-cohort analysis of expression and splicing quantitative trait loci in TOPMed.
39930075	2025	Discov Oncol	Journal Article	Q6_gwas_lung_regulatory	A Multi-omic study integrating plasma protein, multiple tissues, and single-cell identifies RNASET2 as a key gene for lung cancer.
39910069	2025	Nat Commun	Journal Article	Q6_gwas_lung_regulatory	Massively parallel variant-to-function mapping determines functional regulatory variants of non-small cell lung cancer.
39884473	2025	Microb Pathog	Journal Article	Q6_gwas_lung_regulatory	Causal association and potential mediator between lung cancer and tuberculosis: A Mendelian randomization study.
39876559	2025	HGG Adv	Journal Article	Q6_gwas_lung_regulatory	Context-specific eQTLs provide deeper insight into causal genes underlying shared genetic architecture of COVID-19 and idiopathic pulmonary fibrosis.
39848439	2025	Int J Biochem Cell Biol	Journal Article;Review;Research Support, Non-U.S. Gov't	Q6_gwas_lung_regulatory	Interplay between genetics and epigenetics in lung fibrosis.
39794498	2025	Commun Biol	Journal Article;Meta-Analysis	Q6_gwas_lung_regulatory	The genomic architecture of circulating cytokine levels points to drug targets for immune-related diseases.
39793288	2025	Ecotoxicol Environ Saf	Journal Article	Q6_gwas_lung_regulatory	Novel functional eQTL-SNPs associated with susceptibility to occupational pulmonary fibrosis: A multi-stage study.
39680684	2025	Adv Sci (Weinh)	Journal Article	Q6_gwas_lung_regulatory	Cis-Regulation of an m(6)A Eraser by an Insertion Variant Associated with Survival of Patients With Non-Small Cell Lung Carcinoma.
39535029	2025	Nucleic Acids Res	Journal Article;Research Support, N.I.H., Extramural	Q6_gwas_lung_regulatory	Enhancing disease risk gene discovery by integrating transcription factor-linked trans-variants into transcriptome-wide association analyses.
39444114	2025	Genet Epidemiol	Journal Article	Q6_gwas_lung_regulatory	Integrative Multi-Omics Approach for Improving Causal Gene Identification.
39374572	2025	Am J Respir Crit Care Med	Journal Article;Observational Study;Research Support, Non-U.S. Gov't	Q6_gwas_lung_regulatory	Sex-Specific Genetic Determinants of Right Ventricular Structure and Function.
42576861	2025	Sustain Microbiol	Journal Article	Q7_disease_gene_resource	Meeting report: 400 synthetic biology projects promote sustainable development.
42417344	2025	Sex Reprod Health Matters	Journal Article	Q7_disease_gene_resource	Reparation, rights, and dissidence: a qualitative study of feminist advocacy for legal, safe, and free abortion in Ecuador.
42378543	2025	J Int Adv Otol	Journal Article	Q7_disease_gene_resource	Tinnitus Pathophysiology: A Systems Biology Analysis of Gene Networks and Cellular Pathways.
41316172	2025	Respir Res	Journal Article	Q8_ipf_tf	Variable steady inflammation and inflammatory responses in precision-cut lung slices from various IPF lung Regions.
41266264	2025	Iran J Allergy Asthma Immunol	Journal Article	Q8_ipf_tf	Transcription Factor and Cytokine Profiles in Peripheral Blood T Helper Cells in Patients with Idiopathic Pulmonary Fibrosis.
41208134	2025	Exp Lung Res	Journal Article	Q8_ipf_tf	Nuclear accumulated µ-calpain enhances FoxO3a phosphorylation in AT2 cell and exacerbates pulmonary fibrosis.
41155944	2025	Pharmaceutics	Journal Article	Q8_ipf_tf	DST-3, a Novel Modified Cryptotanshinone, Protects Against Pulmonary Fibrosis via Inhibiting STAT3/Smad Signaling Pathway and Improves Bioavailability.
40991995	2025	Int Immunopharmacol	Journal Article	Q8_ipf_tf	Six1 promotes alveolar epithelium senescence in pulmonary fibrosis through regulating Tp53.
40856011	2025	Dis Model Mech	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	Uncovering an antifibrotic Prrx1-lineage mesenchymal cell subpopulation in fibrotic lungs.
40820551	2025	Compr Physiol	Journal Article;Review;Research Support, Non-U.S. Gov't	Q8_ipf_tf	The Role of p53-Mediated Cellular Senescence in Idiopathic Pulmonary Fibrosis.
40816528	2025	Eur J Pharmacol	Journal Article	Q8_ipf_tf	Repurposing flavopiridol as an inhaled therapeutic for pulmonary fibrosis.
40816266	2025	Cell	Journal Article	Q8_ipf_tf	Prevalent mesenchymal drift in aging and disease is reversed by partial reprogramming.
40780596	2025	Eur J Pharmacol	Journal Article	Q8_ipf_tf	Transcription factor MEOX1 accelerates pulmonary fibrosis by regulating mitophagy and senescence.
40685333	2025	Aging Cell	Journal Article	Q8_ipf_tf	Smoking Promotes AT2 Cell Senescence and Exacerbates Pulmonary Fibrosis by Downregulating POT1 via Integratively Inducing CpG Methylation and MECP2-Mediated FOXP2 Transcriptional Binding Inhibition.
40580591	2025	Comput Biol Chem	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	Identification of the differences in molecular networks between idiopathic pulmonary fibrosis and lung squamous cell carcinoma using machine learning.
40550960	2025	Acta Pharmacol Sin	Journal Article	Q8_ipf_tf	Serum amyloid A3 aggravates bleomycin-induced pulmonary fibrosis through Krüppel-like factor 6-dependent interlukin-36α expression.
40493404	2025	J Clin Invest	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q8_ipf_tf	Wilms tumor 1 impairs apoptotic clearance of fibroblasts in distal fibrotic lung lesions.
40475429	2025	bioRxiv	Journal Article;Preprint	Q8_ipf_tf	Wilms' tumor 1 impairs apoptotic clearance of fibroblasts in distal fibrotic lung lesions.
40469708	2025	Cytojournal	Journal Article	Q8_ipf_tf	Zinc finger and broad-complex, tramtrack, and bric-a-brac domain containing 16 silencing attenuates bleomycin-induced pulmonary fibrosis in mice through inhibition of the phosphoinositide 3-kinase/protein kinase B/mammalian target of rapamycin pathway.
40441200	2025	Medicine (Baltimore)	Journal Article	Q8_ipf_tf	BPIFB1 is a prognostic biomarker and mediated collagen synthesis in idiopathic pulmonary fibrosis.
40064253	2025	Int J Biol Macromol	Journal Article	Q8_ipf_tf	Blocking ATF4 attenuates pulmonary fibrosis by preventing lung fibroblast activation and macrophage M2 program.
39888275	2025	Clin Transl Med	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	Histone methyltransferase KMT2A promotes pulmonary fibrogenesis via targeting pro-fibrotic factor PU.1 in fibroblasts.
39781457	2025	Int J Biol Sci	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	The Cyclin-Dependent Kinase 8 Inhibitor E966-0530-45418 Attenuates Pulmonary Fibrosis In Vitro and In Vivo.
39745695	2025	Am J Physiol Lung Cell Mol Physiol	Journal Article	Q8_ipf_tf	mTOR signaling regulates multiple metabolic pathways in human lung fibroblasts after TGF-β and in pulmonary fibrosis.
39617099	2025	Lab Invest	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	Comprehensive RNA Sequencing Analysis Identifies Network Hub Genes and Biomarkers Differentiating Desmoid-type Fibromatosis From Reactive Fibrosis.
39570661	2025	J Med Chem	Journal Article	Q8_ipf_tf	Discovery of GS-2278, a Potent and Selective LPAR1 Antagonist for the Treatment of Idiopathic Pulmonary Fibrosis.
41596081	2025	Antioxidants (Basel)	Journal Article	Q9_copd_asthma_tf	Epithelial AhR Suppresses Allergen-Induced Oxidative Stress and Senescence via c-Myc Regulation.
41340627	2025	Int J Chron Obstruct Pulmon Dis	Journal Article;Validation Study	Q9_copd_asthma_tf	Integrating Bioinformatics Analysis with RT-qPCR Experimental Validation to Investigate Immune Cell and Telomere-Related Biomarkers in Chronic Obstructive Pulmonary Disease.
41332835	2025	medRxiv	Journal Article;Preprint	Q9_copd_asthma_tf	Interactions with polygenic background impact quantitative traits in the UK Biobank.
41213067	2025	Crit Rev Immunol	Journal Article;Review	Q9_copd_asthma_tf	Single-Cell RNA Analysis Reveals Aberrant Expression of Immune-Related Genes and Transcriptional Regulation of NK Cells in Chronic Obstructive Pulmonary Disease.
41165548	2025	J Med Virol	Journal Article	Q9_copd_asthma_tf	Cigarette Smoke Deteriorates SARS-CoV-2 Infection-Induced Lung Injury.
41164273	2025	Vavilovskii Zhurnal Genet Selektsii	Journal Article	Q9_copd_asthma_tf	The сontribution of FOXO family transcription factor genes (FOXO1, FOXO3) to chronic obstructive pulmonary disease.
41158511	2025	Front Genet	Journal Article	Q9_copd_asthma_tf	Transcriptomic profiling reveals macrophage gene signatures associated with lactylation-related pathways in chronic obstructive pulmonary disease.
41030501	2025	Front Bioinform	Journal Article	Q9_copd_asthma_tf	Discovering biomarkers for chronic sinusitis with nasal polyps: a study integrating bioinformatics analysis and experimental validation of macrophage polarization and metabolism-related genes.
40950440	2025	medRxiv	Journal Article;Preprint	Q9_copd_asthma_tf	The evolutionary landscape of host immunity genes involved in respiratory and other immune-related diseases, and their association with severe COVID-19 outcomes.
40949898	2025	Transl Pediatr	Journal Article	Q9_copd_asthma_tf	The impact of NF-κB2 mutations on Tfh cell differentiation and their critical role in immune function.
40948790	2025	Front Immunol	Journal Article;Review	Q9_copd_asthma_tf	Regulatory mechanisms of Th9 cell differentiation.
40777291	2025	bioRxiv	Journal Article;Preprint	Q9_copd_asthma_tf	Activation of IL-17+ ILC subsets in IL-18R-deficient mice during fungal allergen exposure.
40634444	2025	Sci Rep	Journal Article	Q9_copd_asthma_tf	Anoikis-related biomarkers PARP1 and SDCBP as diagnostic and therapeutic targets for asthma.
40596380	2025	Sci Rep	Journal Article	Q9_copd_asthma_tf	Bioinformatics analysis and preliminary validation of autophagy-related genes in asthma disease.
40461634	2025	Sci Rep	Journal Article	Q9_copd_asthma_tf	Identify the co-expressed genes of hypertensive nephropathy and diabetic nephropathy.
40350818	2025	Zhongguo Zhong Yao Za Zhi	Journal Article;Review;English Abstract	Q9_copd_asthma_tf	[Advances in role and mechanism of traditional Chinese medicine active ingredients in regulating balance of Th1/Th2 and Th17/Treg immune responses in asthma patients].
40307363	2025	Sci Rep	Journal Article	Q9_copd_asthma_tf	Identifying pyroptosis-related prognostic genes in the co-occurrence of lung adenocarcinoma and COPD via bioinformatics analysis.
40288048	2025	J Int Med Res	Journal Article	Q9_copd_asthma_tf	Identification of hub genes related to DNA damage response in asthma via combinative bioinformatics strategy.
40211768	2025	Immunol Rev	Journal Article;Review;Research Support, N.I.H., Extramural	Q9_copd_asthma_tf	Transcriptional Regulation of Mouse Mast Cell Differentiation and the Role of Human Lung Mast Cells in Airway Inflammation.
40161396	2025	Int J Chron Obstruct Pulmon Dis	Journal Article;Research Support, Non-U.S. Gov't	Q9_copd_asthma_tf	Identification of Oxidative Stress-Associated Biomarkers in Chronic Obstructive Pulmonary Disease: An Integrated Bioinformatics Analysis.
40154100	2025	J Ayurveda Integr Med	Journal Article;Review	Q9_copd_asthma_tf	Molecular insights into anti-inflammatory activities of selected Indian herbs.
40029375	2025	Hum Genet	Journal Article	Q9_copd_asthma_tf	Mendelian randomization analysis and molecular mechanism study of childhood asthma and obstructive sleep apnea.
39966984	2025	J Transl Med	Journal Article	Q9_copd_asthma_tf	Integrated analysis reveals that EGR1 promotes epithelial IL33 production in T2 asthma.
39965386	2025	Int Immunopharmacol	Journal Article	Q9_copd_asthma_tf	Exploring the regulatory role of mtTFA on inflammation, oxidative stress, and epigenetic alterations in COPD progressed NSCLC patients with smoking history.
39798569	2025	Am J Hum Genet	Journal Article;Research Support, N.I.H., Extramural	Q9_copd_asthma_tf	DNA-binding affinity and specificity determine the phenotypic diversity in BCL11B-related disorders.
38886935	2025	Neural Regen Res	Journal Article	Q9_copd_asthma_tf	Context-dependent role of sirtuin 2 in inflammation.
41300764	2025	Genes (Basel)	Journal Article;Review	Q10_lung_cancer_tf_network	The miR-200 Family in Non-Small-Cell Lung Cancer: Molecular Mechanisms, Clinical Applications, and Therapeutic Implications.
41122174	2025	Front Immunol	Journal Article	Q10_lung_cancer_tf_network	Administration of statins is correlated with favourable prognosis in lung cancer patients receiving immune checkpoint inhibitors.
41106272	2025	Transl Oncol	Journal Article	Q10_lung_cancer_tf_network	Tumor-derived exosomal miR-199b-5p promotes proliferation and epithelial-mesenchymal transition in non-small cell lung cancer by targeting CCNL1.
41094477	2025	Cell Div	Journal Article	Q10_lung_cancer_tf_network	Long noncoding RNA TMPO-AS1 upregulates chromosomal passenger complex expression to promote cell proliferation in lung cancer via sponging microRNA let-7b-5p.
41085902	2025	Discov Oncol	Journal Article	Q10_lung_cancer_tf_network	The influence of ferroptosis-associated gene HSPA5 on the prognosis and immune evasion of lung adenocarcinoma.
41024254	2025	Biol Sex Differ	Journal Article;Research Support, N.I.H., Extramural	Q10_lung_cancer_tf_network	Multi-omics protein signaling networks identify sex-specific therapeutic candidates in lung adenocarcinoma.
40946586	2025	Transl Oncol	Journal Article	Q10_lung_cancer_tf_network	KRAS mutations promote PD-L1-mediated immune escape by ETV4 in lung adenocarcinoma.
40888963	2025	Funct Integr Genomics	Journal Article	Q10_lung_cancer_tf_network	MED12-STAT1-TAP2 axis regulates CD8 + T cell cytotoxicity and mediates immunotherapy outcome in non-small cell lung cancer.
40860289	2025	Hum Mutat	Journal Article	Q10_lung_cancer_tf_network	Computational Analyses Identified Three Diagnostic Biomarkers Associated With Programmed Cell Death for Lung Adenocarcinoma.
40634311	2025	NPJ Aging	Journal Article	Q10_lung_cancer_tf_network	Aging-associated alterations in gene regulatory networks associate with risk, prognosis and response to therapy in lung adenocarcinoma.
40625743	2025	Front Immunol	Journal Article	Q10_lung_cancer_tf_network	Systematic pan-cancer analysis identifies PKNOX1 as a potential prognostic and immunological biomarker and its functional validation.
40552583	2025	Adv Sci (Weinh)	Journal Article	Q10_lung_cancer_tf_network	Single-Cell RNA Sequencing Identifies MMP11(+) Cancer-Associated Fibroblasts as Drivers of Angiogenesis and Bladder Cancer Progression.
40546313	2025	Mol Ther Oncol	Journal Article	Q10_lung_cancer_tf_network	Identification of dynamic network biomarker ITGB1 for erlotinib pre-resistance using single-cell differential covariance entropy.
40539233	2025	Brief Bioinform	Journal Article	Q10_lung_cancer_tf_network	DeepTFtyper: an interpretable morphology-aware graph neural network for translating histopathology images into molecular subtypes in small cell lung cancer.
40445483	2025	Discov Oncol	Journal Article	Q10_lung_cancer_tf_network	hsa-let-7b-5p/TMPO-AS1-mediated ceRNA networks are linked to poor prognosis for lung cancer patients with FOXM1/MAD2L1 axis.
40323013	2025	Cancer Res Commun	Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural	Q10_lung_cancer_tf_network	APOBEC3 Activity Promotes the Survival and Evolution of Drug-Tolerant Persister Cells during EGFR Inhibitor Resistance in Lung Cancer.
40178908	2025	J Clin Invest	Journal Article	Q10_lung_cancer_tf_network	Hyaluronan network remodeling by ZEB1 and ITIH2 enhances the motility and invasiveness of cancer cells.
40097569	2025	Sci Rep	Journal Article	Q10_lung_cancer_tf_network	Unraveling the intricate molecular landscape and potential biomarkers in lung adenocarcinoma through integrative epigenomic and transcriptomic profiling.
39817717	2025	OMICS	Journal Article	Q10_lung_cancer_tf_network	Multiplexed Molecular Endophenotypes Help Identify Hub Genes in Non-Small Cell Lung Cancer: Unlocking Next-Generation Cancer Phenomics.
39647236	2025	Cancer Genet	Journal Article;Meta-Analysis;Research Support, Non-U.S. Gov't	Q10_lung_cancer_tf_network	Screening and identification of gene expression in large cohorts of clinical tissue samples unveils the major involvement of EZH2 and SOX2 in lung cancer.
39637943	2025	Ann Oncol	Journal Article;Multicenter Study;Research Support, N.I.H., Extramural	Q10_lung_cancer_tf_network	Lung adenocarcinomas with mucinous histology: clinical, genomic, and immune microenvironment characterization and outcomes to immunotherapy-based treatments and KRAS(G12C) inhibitors.
39254651	2025	J Natl Cancer Inst	Journal Article	Q10_lung_cancer_tf_network	Pan-cancer genomic analysis reveals FOXA1 amplification is associated with adverse outcomes in non-small cell lung, prostate, and breast cancers.
38685529	2025	J Adv Res	Journal Article;Research Support, Non-U.S. Gov't	Q10_lung_cancer_tf_network	KRAS/PI3K axis driven GTF3C6 expression and promotes LUAD via FAK pathway.
38319037	2025	J Biomol Struct Dyn	Journal Article	Q10_lung_cancer_tf_network	Identification of potential regulatory mechanisms and therapeutic targets for lung cancer.
41738028	2025	bioRxiv	Journal Article;Preprint	Q11_lung_dev_tf	Specialized gas-exchange endothelium of the zebrafish gill.
41522114	2025	J Thorac Dis	Journal Article	Q11_lung_dev_tf	Tumor prognostic risk stratification based on pseudo-time analysis of single-cell sequencing for patients with lung adenocarcinoma.
41516316	2025	Int J Mol Sci	Journal Article;Review	Q11_lung_dev_tf	Lineage Plasticity and Histologic Transformation in EGFR-TKI Resistant Lung Cancer.
41516150	2025	Int J Mol Sci	Journal Article	Q11_lung_dev_tf	A Combined Bioinformatics and Clinical Validation Study Identifies MDM2, FKBP5 and CTNNA1 as Diagnostic Gene Signatures for COPD in Peripheral Blood Mononuclear Cells.
41453945	2025	Cell Death Dis	Journal Article	Q11_lung_dev_tf	Non-canonical NOTCH1 signaling regulates ferroptosis vulnerability in dormant lung cancer cells with stable resistance.
41445736	2025	Front Immunol	Journal Article	Q11_lung_dev_tf	Single-cell transcriptomics reveals immune remodeling of the murine lung microenvironment following chronic house dust mite exposure.
41405834	2025	FASEB J	Journal Article	Q11_lung_dev_tf	Bulk Transcriptome and Single-Cell Sequencing Datasets Reveal Key Programmed Cell Death Patterns in Radiation-Induced Lung Injury: Crosstalk Between NETosis and Macrophages' Responses.
41405767	2025	Med Oncol	Journal Article	Q11_lung_dev_tf	Multi-omics integration reveals CYP2B6 as a central node in the molecular landscape of non-small cell lung cancer.
41373817	2025	Int J Mol Sci	Journal Article	Q11_lung_dev_tf	SOX18 and SOX30 in NSCLC: The Epigenetic Landscape of Methylation, miRNA Regulation, and Network Crosstalk in Tumor Progression.
41315351	2025	Nat Commun	Journal Article	Q11_lung_dev_tf	Single-cell multiomics analysis reveals CTCF as a key regulator of lung morphogenesis and progenitor maintenance.
41304276	2025	Microorganisms	Journal Article	Q11_lung_dev_tf	The Nucleoid-Associated Protein Fis Represses Type 3 Fimbriae to Modulate Biofilm and Adherence Formation in Klebsiella pneumoniae.
41278997	2025	bioRxiv	Journal Article;Preprint	Q11_lung_dev_tf	Clinical Interventions and Inflammatory Signaling Shape the Transcriptional and Cellular Architecture of the Early Postnatal Lung.
41234870	2025	Transl Cancer Res	Journal Article	Q11_lung_dev_tf	Methylation-regulated tumor suppressor gene HOXB4 inhibits human lung adenocarcinoma A549 cell invasion and metastasis through the RAP1 signaling pathway.
41221472	2025	Pulm Circ	Journal Article	Q11_lung_dev_tf	Identification and Validation of Potential Diagnostic Biomarkers for Pulmonary Arterial Hypertension Based on Gene Expression Profiling.
41194044	2025	Respir Res	Journal Article	Q11_lung_dev_tf	FPR1-dependent Pro-inflammatory Ccl4(high) monocytes/macrophages drive and predict sepsis-induced acute lung injury.
41164190	2025	Front Immunol	Journal Article	Q11_lung_dev_tf	Integrative multi-omics reveals energy metabolism-related prognostic signatures and immunogenetic landscapes in lung adenocarcinoma.
41151853	2025	Cancer Genomics Proteomics	Journal Article	Q11_lung_dev_tf	Investigating the Roles of MAPKs as Precision Oncology Targets: A Multi-cancer Expression and Survival Study.
40978530	2025	Mol Ther Nucleic Acids	Journal Article	Q11_lung_dev_tf	Targeting long non-coding RNA MALAT1 preserves endothelial cell integrity and protects against kidney fibrosis.
40961225	2025	Sci Transl Med	Journal Article;Research Support, Non-U.S. Gov't	Q11_lung_dev_tf	PD-1-targeted cis-delivery of an IL-2 variant induces a multifaceted antitumoral T cell response in human lung cancer.
40936767	2025	PeerJ	Journal Article	Q11_lung_dev_tf	Development of a prognostic RiskScore model using efferocytosis-related signature genes for lung adenocarcinoma.
40903777	2025	Eur J Med Res	Journal Article;Review	Q11_lung_dev_tf	NUTM2A-AS1 as a potential key regulator in cancer: unraveling its ceRNA networks and impact on tumor biology.
40875786	2025	Cardiovasc Res	Journal Article;Research Support, Non-U.S. Gov't	Q11_lung_dev_tf	Mapping disease-specific vascular cell populations responsible for obliterative arterial remodelling during the development of pulmonary arterial hypertension.
40874228	2025	Front Oncol	Journal Article	Q11_lung_dev_tf	Comprehensive single-cell sequencing reveals the tumor microenvironment and tumor-specific characteristics in trachea squamous cell carcinoma.
40779647	2025	Sci Immunol	Journal Article	Q11_lung_dev_tf	GM-CSF derived from alveolar type 2 cells promotes CD301b(+) cDC2 generation and allergic airway inflammation.
40767540	2025	Am J Physiol Cell Physiol	Journal Article;Research Support, Non-U.S. Gov't	Q11_lung_dev_tf	SPP1 regulates alveolar type 2 cell-macrophage cross talk and epithelial cell fate in iron-driven lung fibrosis.
40748676	2025	Am J Physiol Lung Cell Mol Physiol	Journal Article	Q11_lung_dev_tf	A spatial transcriptomic atlas of acute neonatal lung injury across development and disease severity.
40735270	2025	J Inflamm Res	Journal Article	Q11_lung_dev_tf	PM2.5 Induces Cell-Specific Transcriptomic Alterations in the Lungs of Juvenile Mice.
40719115	2025	Semin Respir Crit Care Med	Journal Article;Review	Q11_lung_dev_tf	Emerging Concepts in Fibroblast Biology and Progressive Pulmonary Fibrosis.
40552290	2025	Front Immunol	Journal Article	Q11_lung_dev_tf	Development of a machine learning-derived dendritic cell signature for prognostic stratification in lung adenocarcinoma.
40502191	2025	bioRxiv	Journal Article;Preprint	Q11_lung_dev_tf	A spatial transcriptomic atlas of acute neonatal lung injury across development and disease severity.
40501950	2025	bioRxiv	Journal Article;Preprint	Q11_lung_dev_tf	Tumor-specific draining lymph node CD8 T cells orchestrate an anti-tumor response to neoadjuvant PD-1 immune checkpoint blockade.
40499803	2025	J Ethnopharmacol	Journal Article	Q11_lung_dev_tf	Investigation of the effect and mechanism of Fei Re Pu Qing powder in treating acute lung injury (ALI) by modulating macrophage polarization via serum pharmacology and network pharmacology.
40463164	2025	bioRxiv	Journal Article;Preprint	Q11_lung_dev_tf	Organism-wide cellular dynamics and epigenomic remodeling in mammalian aging.
